ZIPCODE,ZIP_TOTAL_PEOPLE,ZIP_AUDIENCE_PEOPLE,ZIP_TARGET_DENSITY,CUMULATIVE_REACH
48334,16064,218,0.013571,1126125
17313,8384,2022,0.241174,41683
18055,10414,1856,0.178222,351485
16503,8752,321,0.036677,1060451
55347,25266,21,0.000831,1156375
19809,13558,22,0.001623,1148536
18040,15750,2577,0.163619,438552
18707,13479,158,0.011722,1129187
15104,6404,38,0.005934,1135516
19390,11204,275,0.024545,1102181
15144,3364,504,0.149822,542648
21009,26875,39,0.001451,1149619
16601,23808,3322,0.139533,618353
76028,60621,28,0.000462,1160419
08234,39804,45,0.001131,1152410
19057,13473,514,0.038150,1054959
17101,2421,55,0.022718,1105847
15623,754,168,0.222812,74673
15046,2050,389,0.189756,275623
19612,630,26,0.041270,1044536
48318,173,36,0.208092,177283
18216,853,141,0.165299,424437
15617,217,62,0.285714,7693
17010,100,34,0.340000,81
34744,50221,21,0.000418,1160564
15650,22275,1332,0.059798,990981
49348,12606,54,0.004284,1137749
33569,25693,27,0.001051,1153651
32233,22098,21,0.000950,1154855
29579,55221,176,0.003187,1140355
23454,48851,23,0.000471,1160391
34608,30786,64,0.002079,1145953
48307,37263,1855,0.049781,1018724
48133,5484,589,0.107403,766015
49315,23364,5510,0.235833,52067
17112,32630,6199,0.189979,271073
28409,32795,24,0.000732,1157697
19518,13448,2278,0.169393,393891
33542,19462,91,0.004676,1137144
49024,27002,2353,0.087142,867056
19808,34916,38,0.001088,1153152
78660,80372,21,0.000261,1160876
33908,40253,126,0.003130,1140682
48640,28841,2079,0.072085,932902
48390,22580,3390,0.150133,541170
49307,13911,74,0.005320,1136224
49321,14141,2460,0.173962,377898
48371,21998,3035,0.137967,630561
15090,20763,4278,0.206040,185194
54136,5768,549,0.095180,822586
53172,16371,37,0.002260,1144492
55902,21561,23,0.001067,1153480
32246,44509,22,0.000494,1160252
17404,28918,4928,0.170413,391613
19468,22796,4063,0.178233,347907
19438,21181,3846,0.181578,318459
15044,25881,4995,0.192999,245545
19015,13679,504,0.036845,1058629
18634,10409,165,0.015852,1122537
18414,4996,25,0.005004,1136692
19014,17904,3881,0.216767,144695
19007,17080,967,0.056616,995297
15902,8518,1045,0.122681,710086
29680,32306,35,0.001083,1153226
08028,15205,24,0.001578,1148850
53183,2851,318,0.111540,746959
54307,185,34,0.183784,295757
34242,9509,28,0.002945,1140997
18052,22135,2236,0.101016,801900
19021,7853,322,0.041003,1044858
17113,8730,814,0.093242,831111
15122,16226,980,0.060397,986962
18252,8723,413,0.047346,1027768
16441,8161,22,0.002696,1142052
19073,19805,3543,0.178894,342454
16830,10301,490,0.047568,1027355
16868,634,102,0.160883,481671
16563,340,46,0.135294,650709
34759,41357,22,0.000532,1159919
34103,12245,22,0.001797,1147525
34135,43440,126,0.002901,1141245
18929,7546,1667,0.220912,88129
33983,16754,41,0.002447,1143691
46074,41762,38,0.000910,1155411
85122,45050,37,0.000821,1156551
29687,37729,29,0.000769,1157329
18031,8883,1229,0.138354,621438
19703,13446,42,0.003124,1140724
48638,12061,1660,0.137634,632644
48451,14659,716,0.048844,1022869
19547,3964,75,0.018920,1115319
32940,50660,70,0.001382,1150166
18702,27524,76,0.002761,1141611
29526,47522,38,0.000800,1156825
15243,12354,157,0.012708,1127840
43016,35213,23,0.000653,1158577
48359,8620,1599,0.185499,292018
49866,7756,115,0.014827,1124060
53095,23911,497,0.020785,1110453
53027,19553,170,0.008694,1132689
16508,11971,1017,0.084955,880858
17042,32571,3784,0.116177,729108
18219,972,52,0.053498,1007142
18407,11030,328,0.029737,1083724
49071,10158,28,0.002756,1141676
54476,15321,863,0.056328,996445
33954,11401,21,0.001842,1147320
18914,18597,3293,0.177072,363522
18643,10049,128,0.012738,1127683
17319,8636,1100,0.127374,680530
16866,6319,121,0.019149,1115056
17569,4672,115,0.024615,1101458
18946,119,21,0.176471,367143
18943,94,28,0.297872,7540
45040,45371,36,0.000793,1156895
15905,16844,2738,0.162550,459645
34207,23335,36,0.001543,1148886
49014,19243,1760,0.091462,839768
85375,31425,48,0.001527,1149028
29073,41268,21,0.000509,1160061
46845,26151,42,0.001606,1148578
54304,21388,1729,0.080840,899527
32738,41092,21,0.000511,1160040
19087,27416,2354,0.085862,875042
54902,17970,400,0.022259,1106729
49224,11607,57,0.004911,1136749
33917,30651,78,0.002545,1142827
85395,30396,28,0.000921,1155224
85326,48884,25,0.000511,1160040
28412,41710,54,0.001295,1150915
54401,25095,330,0.013150,1126912
48187,44632,1812,0.040599,1047502
21401,35538,27,0.000760,1157409
48044,49111,3824,0.077864,919572
49508,33872,1352,0.039915,1051484
49441,34100,2700,0.079179,908997
48442,19994,543,0.027158,1094362
48348,23314,3572,0.153213,521888
48813,18575,450,0.024226,1103066
48393,14608,1882,0.128834,672449
48609,11494,1086,0.094484,827613
19067,48457,3249,0.067049,957289
53406,23450,163,0.006951,1134650
54481,23716,25,0.001054,1153624
54912,239,29,0.121339,716008
15005,8700,1746,0.200690,202748
15106,15963,630,0.039466,1052114
15906,7803,632,0.080994,895407
18642,3769,207,0.054922,1001462
15033,3565,388,0.108836,751601
48105,29824,827,0.027729,1093505
15017,14110,2287,0.162084,469956
21921,38507,37,0.000961,1154753
23456,49345,27,0.000547,1159774
16214,5752,166,0.028860,1087025
18976,18207,3435,0.188664,279678
18447,8885,957,0.107710,764685
18078,6202,607,0.097872,815151
17318,317,87,0.274448,8316
18912,306,23,0.075163,920763
29483,48920,55,0.001124,1152700
29572,14797,41,0.002771,1141535
30809,47158,26,0.000551,1159673
78572,51775,37,0.000715,1157781
17837,14873,594,0.039938,1050132
34769,22812,21,0.000921,1155224
34689,26957,39,0.001447,1149658
37042,61218,36,0.000588,1159290
53018,7242,99,0.013670,1125780
18960,11430,2394,0.209449,175111
33706,17122,29,0.001694,1148118
34785,12742,28,0.002197,1145010
53051,34517,1199,0.034737,1068592
55311,30434,23,0.000756,1157432
53069,787,191,0.242694,29401
48045,23110,3641,0.157551,495265
19702,45306,43,0.000949,1154898
16870,6386,236,0.036956,1058125
17078,19261,3722,0.193240,240466
17025,15110,3008,0.199073,209863
33809,27217,30,0.001102,1152945
32119,19886,39,0.001961,1146607
