ZIPCODE,ZIP_TOTAL_PEOPLE,ZIP_AUDIENCE_PEOPLE,ZIP_TARGET_DENSITY,CUMULATIVE_REACH
17046,22308,1710,0.076654,894116
16510,19056,1805,0.094721,780500
16630,3493,192,0.054967,988099
19134,40042,7357,0.183732,315406
17751,5480,186,0.033942,1053268
16601,23808,1561,0.065566,950615
15658,7415,276,0.037222,1047020
08234,39804,43,0.001080,1091259
16503,8752,1237,0.141339,475372
18055,10414,897,0.086134,840542
18040,15750,1534,0.097397,770636
15522,10211,247,0.024190,1071299
17101,2421,569,0.235027,159271
17758,944,23,0.024364,1070826
16678,2085,49,0.023501,1071651
16350,1983,46,0.023197,1071903
16434,1560,30,0.019231,1075411
15104,6404,906,0.141474,474135
15333,1450,66,0.045517,1018969
18216,853,43,0.050410,1006810
15144,3364,265,0.078775,887455
15670,2784,87,0.031250,1058740
19057,13473,1373,0.101908,738860
15046,2050,132,0.064390,955783
15623,754,31,0.041114,1035284
08107,11266,54,0.004793,1079655
19072,9096,1387,0.152485,428215
15545,2277,33,0.014493,1077240
19612,630,393,0.623810,5740
15044,25881,1746,0.067463,938423
10021,35052,48,0.001369,1088536
29579,55221,44,0.000797,1093622
18052,22135,2537,0.114615,646011
07305,46971,21,0.000447,1096775
78660,80372,22,0.000274,1097154
19808,34916,94,0.002692,1082930
80526,39807,22,0.000553,1096122
20190,18396,32,0.001740,1086579
17112,32630,2630,0.080601,876301
16049,2449,63,0.025725,1069205
17404,28918,2719,0.094024,790463
37209,34630,31,0.000895,1092663
19014,17904,1644,0.091823,811053
19007,17080,2201,0.128864,536958
80303,20375,24,0.001178,1090143
15902,8518,660,0.077483,892141
22302,15587,26,0.001668,1086961
17267,2352,24,0.010204,1077846
15825,7378,198,0.026837,1067401
44113,15935,34,0.002134,1084785
19079,7200,1164,0.161667,394493
15618,1965,65,0.033079,1055111
19518,13448,1088,0.080904,873671
19468,22796,2577,0.113046,659913
19021,7853,819,0.104291,717502
19082,26788,4946,0.184635,304568
27615,38536,21,0.000545,1096190
15650,22275,1140,0.051178,1002055
15090,20763,1961,0.094447,784540
19073,19805,1631,0.082353,865848
16235,1089,31,0.028466,1064809
19015,13679,1554,0.113605,650886
19438,21181,2139,0.100987,744612
17113,8730,1067,0.122222,586747
18414,4996,364,0.072858,909369
17244,1839,38,0.020663,1074217
17224,1353,43,0.031781,1057999
18634,10409,222,0.021328,1073717
17813,1532,31,0.020235,1074523
18252,8723,336,0.038519,1042706
16830,10301,427,0.041452,1034348
16868,634,80,0.126183,553260
16342,1597,43,0.026925,1066618
16441,8161,374,0.045828,1018343
15541,2998,62,0.020680,1074139
16720,995,25,0.025126,1070106
15122,16226,1887,0.116295,639158
15214,11688,1835,0.156999,416210
19310,2000,155,0.077500,891481
15320,4088,36,0.008806,1078304
15461,3213,29,0.009026,1078003
15673,835,53,0.063473,960113
08028,15205,35,0.002302,1084208
15954,1667,57,0.034193,1052817
08332,29542,24,0.000812,1093502
16258,1342,37,0.027571,1066018
16563,340,139,0.408824,41991
15678,454,21,0.046256,1017325
16172,78,43,0.551282,20732
07302,37874,103,0.002720,1082836
08618,27394,30,0.001095,1091045
10128,48649,72,0.001480,1088001
20016,24923,28,0.001123,1090726
15243,12354,1259,0.101910,737487
18914,18597,2111,0.113513,652997
29526,47522,32,0.000673,1094910
17042,32571,2399,0.073654,908678
34759,41357,27,0.000653,1095065
07002,49165,31,0.000631,1095334
23225,32433,21,0.000647,1095117
30318,53308,30,0.000563,1096032
17886,532,27,0.050752,1003495
20901,28480,24,0.000843,1093227
07306,32472,38,0.001170,1090219
18324,8293,720,0.086820,837733
19126,12659,2451,0.193617,272916
18702,27524,1634,0.059366,973957
16508,11971,1562,0.130482,530463
18031,8883,729,0.082067,866577
18091,5206,332,0.063773,957541
08534,12263,28,0.002283,1084342
19703,13446,147,0.010933,1077822
18929,7546,651,0.086271,839645
18826,1432,41,0.028631,1064693
19547,3964,196,0.049445,1008167
19152,21633,2627,0.121435,596380
18421,3678,168,0.045677,1018792
18407,11030,934,0.084678,849233
17860,1849,63,0.034072,1052880
18824,944,37,0.039195,1041117
18643,10049,293,0.029157,1063437
17960,3370,97,0.028783,1063798
17319,8636,490,0.056739,983151
16936,1819,55,0.030236,1061747
18636,1100,40,0.036364,1048893
16866,6319,302,0.047792,1014316
16874,1049,44,0.041945,1030432
16651,2665,86,0.032270,1056438
17004,2820,35,0.012411,1077650
15927,783,27,0.034483,1052054
16749,3281,71,0.021640,1073264
15865,921,30,0.032573,1055508
15340,1154,40,0.034662,1051978
08109,19697,74,0.003757,1080095
16611,1900,53,0.027895,1065614
16233,888,28,0.031532,1058304
08030,10639,56,0.005264,1079385
17569,4672,191,0.040882,1035720
15017,14110,1164,0.082495,861389
19067,48457,5697,0.117568,633644
19137,6425,684,0.106459,702495
15217,23423,5903,0.252017,135241
19123,15479,4409,0.284838,99282
15106,15963,1740,0.109002,688720
18661,4810,48,0.009979,1077894
19541,3771,167,0.044285,1023051
18976,18207,1696,0.093151,798808
19087,27416,3987,0.145426,453704
16424,3869,113,0.029207,1063023
15005,8700,498,0.057241,982418
17350,10550,535,0.050711,1004030
16214,5752,492,0.085535,847031
18447,8885,771,0.086775,838504
18078,6202,475,0.076588,894591
15906,7803,540,0.069204,933120
18642,3769,53,0.014062,1077340
18424,5104,266,0.052116,999065
15033,3565,261,0.073212,908939
16915,4635,114,0.024595,1070580
15557,3014,60,0.019907,1074734
17846,2818,83,0.029454,1062850
16157,2681,130,0.048489,1013167
15905,16844,1052,0.062455,967401
19520,5268,277,0.052582,998469
30043,69015,29,0.000420,1096976
18438,1304,36,0.027607,1065981
48105,29824,21,0.000704,1094596
22314,36442,71,0.001948,1085524
80206,24897,43,0.001727,1086687
17038,6230,228,0.036597,1048115
16442,2248,81,0.036032,1049635
16740,772,25,0.032383,1055925
17555,4534,112,0.024702,1070407
21230,29395,79,0.002688,1083009
28803,32950,21,0.000637,1095220
90027,34893,34,0.000974,1091957
28412,41710,28,0.000671,1094960
20878,54854,38,0.000693,1094699
14221,48102,29,0.000603,1095569
01970,37782,27,0.000715,1094551
20003,33088,63,0.001904,1085659
21921,38507,71,0.001844,1086022
17030,501,22,0.043912,1023682
15376,1327,34,0.025622,1069459
18912,306,33,0.107843,689749
15686,688,22,0.031977,1056725
18445,1993,60,0.030105,1061956
17078,19261,1215,0.063081,961670
19055,11113,1193,0.107352,695684
18017,33147,3731,0.112559,667088
18077,2195,145,0.066059,945376
17307,4251,164,0.038579,1042370
18074,4492,239,0.053206,997336
15068,30950,2552,0.082456,864217
19094,3762,431,0.114567,646442
18938,14453,1236,0.085519,848267
19083,31188,4085,0.130980,526753
17837,14873,3036,0.204128,249979
16833,4008,145,0.036178,1049256
18049,16123,1519,0.094213,787718
17517,11916,502,0.042128,1029677
16057,9082,1068,0.117595,627947
18960,11430,873,0.076378,897611
17025,15110,1354,0.089610,829077
17086,1660,24,0.014458,1077287
18453,1015,21,0.020690,1074077
18517,4371,456,0.104324,716683
15684,458,23,0.050218,1006833
19534,1688,51,0.030213,1061798
18822,2547,92,0.036121,1049443
17550,708,44,0.062147,967673
07042,24868,28,0.001126,1090650
23464,61440,27,0.000439,1096824
29483,48920,22,0.000450,1096754
19526,9150,447,0.048852,1012176
18444,11608,844,0.072708,911847
15209,10585,1281,0.121020,600207
18037,6075,427,0.070288,925281
16870,6386,487,0.076261,898098
15473,3201,126,0.039363,1040577
18070,730,30,0.041096,1035503
15474,1520,24,0.015789,1076729
18850,1888,50,0.026483,1067611
18415,1167,29,0.024850,1070237
08043,26639,89,0.003341,1081197
30312,24412,21,0.000860,1093102
27604,33813,23,0.000680,1094821
12866,35487,28,0.000789,1093726
94040,22300,21,0.000942,1092265
07310,7945,24,0.003021,1082043
19536,243,26,0.106996,701811
17040,2059,52,0.025255,1070081
10011,41004,68,0.001658,1087058
21224,36011,100,0.002777,1082630
19702,45306,170,0.003752,1080265
17064,800,37,0.046250,1017433
18327,546,76,0.139194,485146
08873,45342,27,0.000595,1095677
08083,8817,35,0.003970,1079961
27701,20016,37,0.001849,1085951
28546,39002,29,0.000744,1094228
28205,38644,44,0.001139,1090577
17516,3661,131,0.035783,1049983
60657,56823,74,0.001302,1089314
80203,22704,35,0.001542,1087583
17853,2089,37,0.017712,1076186
15057,13919,1003,0.072060,914809
11101,29855,54,0.001809,1086269
44122,32524,25,0.000769,1093899
80525,48936,28,0.000572,1095948
15212,23500,3865,0.164468,385604
80205,34271,67,0.001955,1085389
10075,23021,28,0.001216,1089867
17202,25501,1069,0.041920,1031501
17325,24676,2300,0.093208,797112
18848,6518,247,0.037895,1045017
08619,20204,23,0.001138,1090600
21231,13994,69,0.004931,1079568
17347,5089,354,0.069562,931098
19018,18000,2214,0.123000,579676
19022,2764,321,0.116136,639479
19141,24476,5097,0.208245,226827
18635,3223,51,0.015824,1076705
19560,6674,830,0.124363,569091
17020,7347,252,0.034300,1052688
15003,9184,996,0.108449,689716
18419,3735,204,0.054618,989286
16102,4292,186,0.043336,1026379
16844,2212,47,0.021248,1073793
16133,1210,23,0.019008,1075529
15329,1221,38,0.031122,1058965
16210,748,23,0.030749,1060594
18085,651,62,0.095238,778695
19460,36544,5099,0.139530,481992
21212,27324,28,0.001025,1091675
28451,45935,43,0.000936,1092381
15201,12681,3382,0.266698,124378
19145,37226,6943,0.186509,299622
17019,15760,656,0.041624,1033493
17821,15277,980,0.064149,957209
16105,13538,846,0.062491,966349
19301,6287,796,0.126610,551628
18109,12493,1458,0.116705,636859
18706,12586,111,0.008819,1078268
16617,2079,65,0.031265,1058536
19505,3171,100,0.031536,1058276
16928,1045,22,0.021053,1073815
16820,694,36,0.051873,1000181
15060,716,55,0.076816,892289
15063,9206,543,0.058983,975701
17970,2495,170,0.068136,936415
15140,2348,271,0.115417,639750
16156,2650,66,0.024906,1070172
15081,332,21,0.063253,960253
28209,21795,24,0.001101,1090943
27612,33310,26,0.000781,1093850
60601,11127,26,0.002337,1084071
19312,10796,1501,0.139033,486647
17402,28464,2375,0.083439,857840
15627,5201,220,0.042300,1028426
92101,33265,32,0.000962,1092096
92109,33974,41,0.001207,1089932
20904,44517,24,0.000539,1096262
02138,23058,32,0.001388,1088391
20850,42945,49,0.001141,1090464
97202,41546,23,0.000554,1096100
19063,33857,3799,0.112207,670887
98115,47512,29,0.000610,1095482
98122,35162,46,0.001308,1089193
19144,35354,7921,0.224048,208348
17403,30117,3637,0.120762,603844
18854,953,28,0.029381,1062878
17102,6820,1458,0.213783,216742
15342,4329,239,0.055209,987225
19341,16448,2148,0.130593,528901
18102,29477,4863,0.164976,381739
19525,13199,927,0.070233,926208
15213,22727,13976,0.614951,19716
15904,12824,710,0.055365,986986
15021,5885,262,0.044520,1022391
15958,1623,62,0.038201,1043480
17264,1964,31,0.015784,1076760
15697,2403,146,0.060757,968813
17360,5300,270,0.050943,1002674
16153,1999,46,0.023012,1071990
17876,1301,59,0.045350,1019595
18917,1825,213,0.116712,635401
12180,37881,25,0.000660,1095012
80209,26066,33,0.001266,1089511
17408,20334,1189,0.058473,978196
18974,37095,2941,0.079283,884539
15301,39094,2800,0.071622,919217
15931,6901,376,0.054485,989926
17304,2328,103,0.044244,1023154
15030,755,60,0.079470,881598
15840,1497,64,0.042752,1027707
15722,1691,70,0.041396,1034900
18465,1195,27,0.022594,1072296
15940,1563,104,0.066539,944085
15236,26464,2712,0.102479,734175
19320,42152,4707,0.111667,676767
19046,17252,2197,0.127348,547126
19135,21630,3512,0.162367,393329
17745,12713,911,0.071659,916417
19023,15486,3053,0.197146,261744
19001,14276,2116,0.148221,442178
15748,5345,212,0.039663,1039152
19533,5357,354,0.066082,945231
15071,9909,879,0.088707,831513
19122,20318,7085,0.348706,53120
18411,19467,1760,0.090409,818407
18425,1092,31,0.028388,1065000
17740,9781,299,0.030569,1061109
15218,12238,2284,0.186632,292679
18925,5424,574,0.105826,703069
19090,16502,2282,0.138286,489629
15116,12723,1155,0.090780,816093
19085,7799,2608,0.334402,55728
17063,2348,58,0.024702,1070407
16686,10507,369,0.035119,1051371
19035,3894,504,0.129430,530967
18464,1402,57,0.040656,1036395
17563,2482,67,0.026994,1066575
16248,2422,43,0.017754,1076149
18240,3067,175,0.057059,982593
22201,33092,115,0.003475,1080676
19148,36908,6534,0.177035,331909
18202,9476,126,0.013297,1077511
15419,2007,336,0.167414,367668
18092,2807,188,0.066975,940707
18201,16365,315,0.019248,1075347
17889,2375,114,0.048000,1013733
16802,5616,3835,0.682870,3835
15924,829,32,0.038601,1042206
02135,31714,58,0.001829,1086215
21044,38925,37,0.000951,1092244
11249,25586,24,0.000938,1092289
22203,20885,53,0.002538,1083421
90034,40480,27,0.000667,1094987
17049,2379,36,0.015132,1076823
16851,929,112,0.120560,608583
16160,541,41,0.075786,900166
19701,38591,134,0.003472,1080810
18603,14143,605,0.042777,1027643
21202,16564,38,0.002294,1084246
21218,36489,44,0.001206,1089976
15311,1052,31,0.029468,1062767
32210,50428,21,0.000416,1096997
08052,15857,60,0.003784,1080021
33716,14082,21,0.001491,1087929
08628,9721,33,0.003395,1081002
18980,340,39,0.114706,641010
16444,378,244,0.645503,5347
17405,132,21,0.159091,407818
15025,13935,1279,0.091783,812332
18504,15725,1997,0.126995,549170
19114,24034,2852,0.118665,614441
15012,13521,563,0.041639,1032837
19605,16146,1523,0.094327,786063
19050,23161,4011,0.173179,340687
19076,5082,536,0.105470,707838
19121,31183,10265,0.329186,67910
19565,7361,481,0.065344,953568
18704,24471,756,0.030894,1060410
18104,39318,5590,0.142174,473229
18326,4127,269,0.065181,953837
