ZIPCODE,ZIP_TOTAL_PEOPLE,ZIP_AUDIENCE_PEOPLE,ZIP_TARGET_DENSITY,CUMULATIVE_REACH
02461,6317,113,0.017888,100426
19072,9100,162,0.017802,100588
19102,5604,99,0.017666,100687
32312,32124,565,0.017588,101252
80209,26076,458,0.017564,101710
60091,24841,436,0.017552,102146
95814,6508,114,0.017517,102260
93108,9201,161,0.017498,102421
94904,10298,180,0.017479,102601
92625,11342,198,0.017457,102799
95811,5852,101,0.017259,102900
02493,9760,168,0.017213,103068
92014,12565,216,0.017191,103284
20740,19268,330,0.017127,103614
77027,15428,263,0.017047,103877
80304,25253,430,0.017028,104307
21140,3350,57,0.017015,104364
20905,15889,270,0.016993,104634
77019,20750,352,0.016964,104986
94610,24733,417,0.016860,105403
20745,22258,375,0.016848,105778
19806,10100,170,0.016832,105948
20190,18424,310,0.016826,106258
34228,9344,157,0.016802,106415
20850,42978,721,0.016776,107136
22151,13719,230,0.016765,107366
87505,29241,488,0.016689,107854
02116,16811,280,0.016656,108134
20832,22720,377,0.016593,108511
12054,15811,262,0.016571,108773
20191,25047,415,0.016569,109188
20721,28996,480,0.016554,109668
20759,6139,100,0.016289,109768
32308,21065,343,0.016283,110111
20785,30610,496,0.016204,110607
20851,10018,162,0.016171,110769
20019,48366,778,0.016086,111547
20878,54913,879,0.016007,112426
73103,3892,62,0.015930,112488
10007,5438,86,0.015815,112574
21035,7910,124,0.015676,112698
10024,49840,773,0.015510,113471
20198,2004,31,0.015469,113502
20855,15396,238,0.015459,113740
20720,22288,344,0.015434,114084
19010,18453,284,0.015390,114368
95816,14190,218,0.015363,114586
20124,13085,201,0.015361,114787
22030,44416,682,0.015355,115469
20833,7427,112,0.015080,115581
95864,20287,305,0.015034,115886
10023,54296,803,0.014789,116689
20743,32381,477,0.014731,117166
50312,13401,197,0.014700,117363
20737,11383,167,0.014671,117530
94549,25241,370,0.014659,117900
11976,2187,32,0.014632,117932
20751,2256,33,0.014628,117965
17011,27743,404,0.014562,118369
02445,16422,239,0.014554,118608
20032,27330,397,0.014526,119005
21114,21937,318,0.014496,119323
02459,15837,229,0.014460,119552
20770,18896,273,0.014448,119825
02030,5276,76,0.014405,119901
10011,41014,590,0.014385,120491
32309,29508,423,0.014335,120914
98040,22640,324,0.014311,121238
94010,33315,476,0.014288,121714
94965,9677,138,0.014261,121852
20746,23579,336,0.014250,122188
20742,1759,25,0.014213,122213
21403,27100,385,0.014207,122598
34236,16510,234,0.014173,122832
20778,1839,26,0.014138,122858
37205,23600,333,0.014110,123191
30307,19446,274,0.014090,123465
90064,22786,321,0.014088,123786
08542,2772,39,0.014069,123825
60611,28886,406,0.014055,124231
60201,34021,475,0.013962,124706
80305,15563,217,0.013943,124923
02481,13076,182,0.013919,125105
20906,52554,731,0.013910,125836
01890,19090,265,0.013882,126101
73116,8141,113,0.013880,126214
19085,7801,108,0.013844,126322
93953,4118,57,0.013842,126379
94901,26013,360,0.013839,126739
94574,6155,85,0.013810,126824
02465,10436,144,0.013798,126968
30306,21895,300,0.013702,127268
94703,16224,222,0.013683,127490
45243,14398,197,0.013682,127687
20774,48190,659,0.013675,128346
02482,9145,125,0.013669,128471
37215,22065,301,0.013642,128772
20748,31972,436,0.013637,129208
21401,35571,485,0.013635,129693
20744,47176,640,0.013566,130333
02421,14966,202,0.013497,130728
32317,14300,193,0.013497,130728
12159,8027,108,0.013455,130836
20904,44554,597,0.013399,131433
92037,33516,449,0.013397,131882
20882,13161,176,0.013373,132058
20715,23364,312,0.013354,132370
94062,22320,298,0.013351,132668
12211,10465,139,0.013282,132807
22079,27498,364,0.013237,133171
10022,27828,368,0.013224,133539
10577,4235,56,0.013223,133595
21036,2124,28,0.013183,133623
20769,6757,89,0.013172,133712
10014,25277,331,0.013095,134043
95819,15045,197,0.013094,134240
02140,16406,214,0.013044,134454
22150,19976,260,0.013016,134714
94402,20325,264,0.012989,134978
20860,2002,26,0.012987,135004
20747,31866,413,0.012961,135417
90024,24560,317,0.012907,135734
20777,3422,44,0.012858,135778
20613,16503,212,0.012846,135990
94127,17155,220,0.012824,136210
12210,6810,87,0.012775,136297
20772,47677,606,0.012711,136903
78756,7611,96,0.012613,136999
32311,18715,236,0.012610,137235
20171,40635,512,0.012600,137747
60045,19775,249,0.012592,137996
20735,35403,444,0.012541,138440
20197,2396,30,0.012521,138470
20716,19580,244,0.012462,138714
80113,20231,252,0.012456,138966
66211,5472,68,0.012427,139034
02460,7830,97,0.012388,139131
20170,29112,360,0.012366,139491
21029,11577,143,0.012352,139634
21054,12668,156,0.012314,139790
02142,2602,32,0.012298,139822
02478,21246,261,0.012285,140083
60610,34138,418,0.012244,140501
94109,38136,466,0.012219,140967
10538,15012,182,0.012124,141149
20776,3136,38,0.012117,141187
21037,19728,239,0.012115,141426
17043,5043,61,0.012096,141487
78735,16399,198,0.012074,141685
92651,22280,268,0.012029,141953
10003,38176,459,0.012023,142412
10282,3332,40,0.012005,142452
48933,2670,32,0.011985,142484
10013,20529,246,0.011983,142730
02467,13363,160,0.011973,142890
10075,23028,275,0.011942,143165
20903,11306,135,0.011941,143300
20165,27525,327,0.011880,143627
07078,12050,143,0.011867,143904
80246,11292,134,0.011867,143904
22060,4738,56,0.011819,143960
60035,28198,333,0.011809,144293
22033,31702,374,0.011797,144667
62711,17060,201,0.011782,144868
20607,12056,141,0.011695,145009
30309,29964,350,0.011681,145359
89519,8908,104,0.011675,145463
94115,26580,309,0.011625,145772
27408,16441,190,0.011556,145962
94123,19127,221,0.011554,146183
02110,2166,25,0.011542,146208
21738,3231,37,0.011452,146245
94925,8220,94,0.011436,146339
19096,12716,145,0.011403,146484
20711,5795,66,0.011389,146550
10021,35063,399,0.011380,146949
19103,23724,269,0.011339,147218
65109,33272,377,0.011331,147595
10028,36769,416,0.011314,148011
27609,29823,337,0.011300,148348
20784,19319,217,0.011232,148565
20837,6162,69,0.011198,148634
02446,21530,241,0.011194,148875
20842,1877,21,0.011188,148896
55424,8591,96,0.011174,148992
94118,29669,331,0.011156,149323
06831,13740,153,0.011135,149476
20623,2875,32,0.011130,149508
30305,27813,309,0.011110,150187
62704,33303,370,0.011110,150187
21012,20195,224,0.011092,150411
20117,2615,29,0.011090,150440
21409,19081,211,0.011058,150651
80220,32163,354,0.011006,151005
80206,24901,274,0.011004,151279
78701,11376,125,0.010988,151404
21113,32405,354,0.010924,151983
80302,20597,225,0.010924,151983
21794,2292,25,0.010908,152008
10065,24438,265,0.010844,152273
48820,16813,182,0.010825,152455
20120,33571,362,0.010783,152817
05602,12623,136,0.010774,152953
20710,5014,54,0.010770,153007
46240,17036,183,0.010742,153190
20708,18352,197,0.010735,153387
20151,17801,189,0.010617,153576
10510,9339,99,0.010601,153675
02458,10567,112,0.010599,153787
94960,13210,140,0.010598,153927
62684,4531,48,0.010594,153975
15238,12651,134,0.010592,154109
11201,52856,559,0.010576,154668
20603,28208,298,0.010564,154966
46204,7575,80,0.010561,155046
20723,27914,294,0.010532,155340
10017,12854,135,0.010503,155475
36106,11822,124,0.010489,155599
10580,15569,163,0.010470,155762
62563,5353,56,0.010461,155818
20706,31798,332,0.010441,156150
20783,19094,199,0.010422,156349
12077,6148,64,0.010410,156413
02114,11634,121,0.010401,156534
10018,6358,66,0.010381,156600
20705,19946,207,0.010378,156807
20866,12337,128,0.010375,156935
20841,8219,85,0.010342,157020
62712,9097,94,0.010333,157114
21046,13468,139,0.010321,157253
06853,3780,39,0.010317,157292
44022,16855,173,0.010264,157465
45208,17459,179,0.010253,157644
60601,11129,114,0.010244,157758
97210,12793,131,0.010240,157889
45226,5577,57,0.010221,157946
12208,15575,159,0.010209,158105
78751,14696,150,0.010207,158255
43209,23262,237,0.010188,158492
94108,7664,78,0.010177,158570
21044,38943,394,0.010117,158964
02420,12556,127,0.010115,159091
10069,5857,59,0.010073,159150
17112,32661,328,0.010043,159478
17070,14042,141,0.010041,159619
21032,8582,86,0.010021,159705
22025,15393,154,0.010005,159859
19081,9503,95,0.009997,159954
23221,13641,136,0.009970,160090
21042,38545,384,0.009962,160474
23226,14886,148,0.009942,160622
48864,18883,187,0.009903,160809
48823,35420,350,0.009881,161159
65101,22494,221,0.009825,161380
21146,26491,260,0.009815,161640
10804,13553,133,0.009813,161773
06783,2144,21,0.009795,161794
20616,6673,65,0.009741,161859
